Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","XXXX is currently reporting incorrect information to all three of my credit bureaus. If the information all comes from the same source why is the reporting inaccurate? the dates opened are not the same on all three bureaus, the credit limit is not all the same on all three bureaus and the high credit is also incorrect on all three bureaus. Being that it is not reporting correctly who says that the information reported is accurate. Please delete this account from all three bureaus asap."
"Credit reporting, credit repair services, or other personal consumer reports","I Have Filed A Dispute In Regards To The Incorrect Item On My Credit Report, It Has Been Over 30 Days And I Haven't Received Any Investigation Results."
"Credit reporting, credit repair services, or other personal consumer reports",I am requesting a method of verification of this bankruptcy on my credit report.
"Credit reporting, credit repair services, or other personal consumer reports",A Car dealer scammed a car in my name that I had no idea about. It shows on my report that It is a XXXX XXXX XXXX  and that I owe over XXXX $! This debt is completely false and needs to be removed. I will be writing a complaint to the Consumer finance Protection Bureau. I just want this false debt off my report thank you.
"Credit reporting, credit repair services, or other personal consumer reports","At this time, I respectfully request a copy of my Experian, XXXX and XXXX XXXX credit report. I dont know why all of my written requests have been ignored, but it would be greatly appreciated if each credit reporting agency will mail out a copy of my credit report to XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, NY XXXX. Your professional cooperation will be greatly appreciated. 
XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",I am unable to get errors on my credit report fixed through Experian nor can I get my report mailed. I have tried to call the company multiple times without being able to speak with a representative.
"Credit reporting, credit repair services, or other personal consumer reports","I have sent Experian a letter on XX/XX/2020 disputing wrong addresses, phone numbers and employment information. I have attached a file that shows the U.S. Postal Certified Mail receipt as proof and they did not remove the inaccurate information. The following incorrect personal information is listed below : Addresses : XXXX XXXX XXXX XXXX XXXX, WISCONSIN XXXX XXXX XXXX XXXX XXXX XXXX, WISCONSIN XXXX Employment : XXXX XXXX XXXX Phone Numbers : XXXX XXXX I request that Experian remove the inaccurate addresses, phone numbers and employment information listed above, being that I have no association with this information."
Debt collection,"Superlative RM www.superlativerm.com contacted me on XXXX/XXXX/2021. Demanded payment and asked me to borrow money from relatives in order to pay a debt that I had no idea I had. Provided names of my family members and vehicles I owned. Then after I stated I did not have {$6000.00} dollars handy to pay the debt, they proceeded to call my ex-husband and then called my ex-husbands wife in order to pay the debt as well. 

I just received my first written notice of debt on XXXX dated XXXX/XXXX/2021. 

They continue to call my family attempting to collect a debt."
Debt collection,this fraudulent account with SEQUIUM ASSET SOLUTIONS account # XXXX balance XXXX this account is fraud i never had any of these accounts they are all fraudulent.
"Credit reporting, credit repair services, or other personal consumer reports",Several times the XXXX account and some XXXX account was removed as it was the result of fraud and added back in with no notice and no new additional information provided to validate said debt it was added back based on the the same information as when it was deleted both accounts are the result of fraud not only that but several times the creditor collect accounts for these have been removed and re added under new names with no new information to prove said debt
"Credit reporting, credit repair services, or other personal consumer reports",Submitted numerous disputes for late payments to be removed due to natural disaster ( covid ). 30 days has passed and I didnt hear anything from the company involved XXXX XXXX or any of the credit companies. Late payments were for XXXX. Disputed late payments and Ive contacted the XXXX XXXX XXXX and still no response
